Location_name,year,ISO_code,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Aberdeen City,2020,GB-ABE,-49.15555555555556,-13.513245033112582,19.477351916376307,-44.717460317460315,-42.32380952380952,14.578947368421053
Aberdeenshire,2020,GB-ABD,-28.93581081081081,-13.56953642384106,19.04778156996587,-35.527027027027025,-37.58095238095238,12.513513513513514
Angus Council,2020,GB-ANS,-27.83108108108108,-7.993243243243243,10.69811320754717,-28.635135135135137,-33.96507936507936,10.771689497716896
Antrim and Newtownabbey,2020,GB-ANN,-30.699324324324323,-11.33445945945946,-33.53061224489796,-52.192567567567565,-35.26031746031746,13.347985347985349
Ards and North Down,2020,GB-AND,-28.847972972972972,-4.3074324324324325,-0.7612456747404844,-42.12775330396476,-37.12063492063492,13.057761732851986
Argyll and Bute Council,2020,GB-AGB,-23.615658362989326,-10.56418918918919,19.255555555555556,-14.597972972972974,-33.814189189189186,7.771241830065359
"Armagh City, Banbridge and Craigavon",2020,GB-ABC,-29.923076923076923,-8.698675496688741,-3.2140077821011674,-33.666666666666664,-31.673015873015874,10.831715210355988
Bath and North East Somerset,2020,GB-BAS,-48.01672240802676,-19.074324324324323,19.766323024054984,-45.020270270270274,-44.80952380952381,14.807407407407407
Bedford,2020,GB-BDF,-39.4180602006689,-14.281456953642385,1.569060773480663,-44.75675675675676,-34.52063492063492,13.37
Belfast,2020,GB-BFS,-39.15264797507788,-15.024922118380061,-10.227118644067797,-46.925233644859816,-40.77570093457944,13.255451713395638
Blackburn with Darwen,2020,GB-BBD,-39.060810810810814,-12.172297297297296,-37.5,-33.645270270270274,-31.095238095238095,11.63768115942029
Blackpool,2020,GB-BPL,-33.20608108108108,-7.952702702702703,13.858024691358025,-18.800675675675677,-31.384126984126983,9.620338983050848
